word,sender_message
cowardly,familiar
hallowed,thing
gaping,scatter
intend,concern
maid,listen
rare,misty
general,destruction
taste,replace
signal,ludicrous
gun,ritzy
clip,adaptable
program,true
grieving,bait
ring,deserted
territory,stare
stew,plot
breath,homeless
wacky,tickle
heal,harbor
vacuous,expensive
knife,sturdy
chess,fat
ruthless,polish
beam,button
encouraging,destruction
cruel,station
bawdy,receipt
quiver,worm
strange,offbeat
somber,invention
run,muddle
snobbish,alert
cause,card
paddle,value
current,zealous
deliver,fool
cloth,present
muddled,crowded
drunk,tub
stir,woebegone
arithmetic,arrange
wrestle,disarm
unsuitable,wide
island,truthful
foot,lunch
foregoing,lucky
moldy,search
squealing,film
paint,inexpensive
scorch,kill
protect,woman
toy,entertaining
channel,pack
obnoxious,innate
moon,enter
tart,spooky
table,trace
plucky,wander
button,use
various,foot
calculate,steer
cat,crib
swing,harsh
homeless,embarrass
beam,record
disagree,exist
false,seat
compare,return
mind,basket
opposite,monkey
birth,basketball
adorable,dapper
amused,blink
trouble,bathe
interesting,curly
gentle,nod
friction,afternoon
disapprove,bucket
direction,brawny
tempt,thirsty
spray,adamant
reading,nervous
bait,march
foot,test
rely,maniacal
teeny,overt
abusive,record
four,tail
free,connect
board,confused
cross,brake
sister,jog
religion,judge
nutty,entertain
mighty,ocean
punish,shoes
chickens,answer
pleasant,lazy
home,dare
undesirable,circle
tame,direful
uncovered,rural
liquid,unlock
rebel,peaceful
quince,divide
odd,fax
skip,report
bell,drum
road,zany
chunky,attach
knife,materialistic
ethereal,plausible
billowy,scene
challenge,waste
actor,weight
enter,great
sneeze,dangerous
abstracted,ratty
communicate,perpetual
warlike,second
high,soggy
bike,bird
bounce,airplane
monkey,whole
cover,cobweb
birthday,open
zebra,drip
wary,dinner
fear,challenge
spurious,precede
highfalutin,count
mysterious,north
eggnog,mature
fearless,sticky
scene,supreme
wry,oven
crazy,furry
decorate,caption
snotty,stir
clumsy,innocent
energetic,rod
gleaming,nappy
hunt,degree
premium,haunt
lewd,best
structure,abandoned
shelter,pricey
unnatural,locket
locket,entertain
handsomely,fairies
beg,payment
dizzy,adamant
mask,salt
illegal,self
remain,mark
womanly,repair
gentle,vagabond
grate,imported
zippy,tickle
stupendous,crawl
ban,motionless
hill,sister
crooked,pin
makeshift,profuse
thought,slippery
ignore,feeble
interrupt,sincere
plastic,unarmed
kind,ear
hands,festive
jeans,wary
power,cracker
glue,reply
extra-large,notice
digestion,horses
dynamic,lamentable
roomy,cheap
red,aboriginal
six,alleged
haircut,rural
threatening,different
spiders,tease
join,follow
trace,grubby
separate,squalid
unsightly,selfish
move,staking
curtain,woozy
advice,homely
perform,animal
sable,rural
nifty,star
luxuriant,economic
industry,scattered
tasty,drop
understood,elderly
inquisitive,tremendous
noxious,wacky
lively,plan
gentle,twist
